"U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
0.0014691,1.4402e-05,0,0.00069505,1.3207e-07,-0.00055376,0.008185,0.00069259,0
0.0013784,4.9115e-05,0,0.00069505,1.2075e-07,-0.00068986,0.0089942,0.00069259,0
0.0012197,8.1516e-05,0,0.00069505,1.104e-07,-0.00083361,0.0098149,0.00069259,0
0.00099659,0.00011046,0,0.00069505,1.0716e-07,-0.00098308,0.010647,0.00069259,0
0.00071472,0.00013532,0,0.00069505,1.1677e-07,-0.0011367,0.011492,0.00069259,0
0.00038067,0.00015602,0,0.00069505,1.4095e-07,-0.0012935,0.012348,0.00069259,0
1.0605e-06,0.00017294,0,0.00069505,1.7947e-07,-0.0014526,0.013216,0.00069259,0
-0.00041827,0.0001868,0,0.00069505,2.3132e-07,-0.0016141,0.014097,0.00069259,0
-0.00087286,0.00019846,0,0.00069505,2.9305e-07,-0.0017778,0.014991,0.00069259,0
-0.0013598,0.0002088,0,0.00069505,3.6166e-07,-0.0019443,0.015897,0.00069259,0
-0.0018778,0.00021856,0,0.00069505,4.3615e-07,-0.0021139,0.016816,0.00069259,0
-0.002427,0.00022835,0,0.00069505,5.161e-07,-0.0022871,0.017748,0.00069259,0
-0.0030083,0.00023859,0,0.00069505,6.0139e-07,-0.0024642,0.018693,0.00069259,0
-0.0036238,0.00024955,0,0.00069505,6.9206e-07,-0.0026455,0.019652,0.00069259,0
-0.0042759,0.00026136,0,0.00069505,7.882e-07,-0.0028311,0.020625,0.00069259,0
-0.0049671,0.00027408,0,0.00069505,8.8998e-07,-0.0030209,0.021611,0.00069259,0
-0.0057004,0.00028766,0,0.00069505,9.9757e-07,-0.0032145,0.022612,0.00069259,0
-0.0064782,0.00030202,0,0.00069505,1.1111e-06,-0.0034115,0.023627,0.00069259,0
-0.0073032,0.00031703,0,0.00069505,1.2308e-06,-0.003611,0.024656,0.00069259,0
-0.0081774,0.00033254,0,0.00069505,1.3567e-06,-0.003812,0.0257,0.00069259,0
